Component,Asp. Rack,Asp. Posi,Dsp. Rack,Dsp. Posi,Volume
2-pHHF1,source,8,Destination_1,G5,8
3-pRET2,source,14,Destination_1,G5,8
etc,source,16,Destination_1,G5,9
1-pTEF2,source,2,Destination_1,H5,8
2-pHHF1,source,8,Destination_1,H5,8
3-pRNR1,source,15,Destination_1,H5,8
etc,source,16,Destination_1,H5,9
1-pTEF2,source,2,Destination_1,A6,8
2-pPAB1,source,9,Destination_1,A6,8
3-pCCW12,source,11,Destination_1,A6,8
etc,source,16,Destination_1,A6,9
1-pTEF2,source,2,Destination_1,B6,8
2-pPAB1,source,9,Destination_1,B6,8
3-pHHF2,source,12,Destination_1,B6,8
etc,source,16,Destination_1,B6,9
1-pTEF2,source,2,Destination_1,C6,8
2-pPAB1,source,9,Destination_1,C6,8
3-pRPL18B,source,13,Destination_1,C6,8
etc,source,16,Destination_1,C6,9
1-pTEF2,source,2,Destination_1,D6,8
2-pPAB1,source,9,Destination_1,D6,8
3-pRET2,source,14,Destination_1,D6,8
etc,source,16,Destination_1,D6,9
1-pTEF2,source,2,Destination_1,E6,8
2-pPAB1,source,9,Destination_1,E6,8
3-pRNR1,source,15,Destination_1,E6,8
etc,source,16,Destination_1,E6,9
1-pTEF2,source,2,Destination_1,F6,8
2-pSAC6,source,10,Destination_1,F6,8
3-pCCW12,source,11,Destination_1,F6,8
etc,source,16,Destination_1,F6,9
1-pTEF2,source,2,Destination_1,G6,8
2-pSAC6,source,10,Destination_1,G6,8
3-pHHF2,source,12,Destination_1,G6,8
etc,source,16,Destination_1,G6,9
1-pTEF2,source,2,Destination_1,H6,8
2-pSAC6,source,10,Destination_1,H6,8
3-pRPL18B,source,13,Destination_1,H6,8
etc,source,16,Destination_1,H6,9
1-pTEF2,source,2,Destination_1,A7,8
2-pSAC6,source,10,Destination_1,A7,8
3-pRET2,source,14,Destination_1,A7,8
etc,source,16,Destination_1,A7,9
1-pTEF2,source,2,Destination_1,B7,8
2-pSAC6,source,10,Destination_1,B7,8
3-pRNR1,source,15,Destination_1,B7,8
etc,source,16,Destination_1,B7,9
1-pHTB2,source,3,Destination_1,C7,8
2-pPGK1,source,6,Destination_1,C7,8
3-pCCW12,source,11,Destination_1,C7,8
etc,source,16,Destination_1,C7,9
1-pHTB2,source,3,Destination_1,D7,8
2-pPGK1,source,6,Destination_1,D7,8
3-pHHF2,source,12,Destination_1,D7,8
etc,source,16,Destination_1,D7,9
1-pHTB2,source,3,Destination_1,E7,8
2-pPGK1,source,6,Destination_1,E7,8
3-pRPL18B,source,13,Destination_1,E7,8
etc,source,16,Destination_1,E7,9
1-pHTB2,source,3,Destination_1,F7,8
2-pPGK1,source,6,Destination_1,F7,8
3-pRET2,source,14,Destination_1,F7,8
etc,source,16,Destination_1,F7,9
1-pHTB2,source,3,Destination_1,G7,8
2-pPGK1,source,6,Destination_1,G7,8
3-pRNR1,source,15,Destination_1,G7,8
etc,source,16,Destination_1,G7,9
1-pHTB2,source,3,Destination_1,H7,8
2-pTEF1,source,7,Destination_1,H7,8
3-pCCW12,source,11,Destination_1,H7,8
etc,source,16,Destination_1,H7,9
1-pHTB2,source,3,Destination_1,A8,8
2-pTEF1,source,7,Destination_1,A8,8
3-pHHF2,source,12,Destination_1,A8,8
etc,source,16,Destination_1,A8,9
1-pHTB2,source,3,Destination_1,B8,8
2-pTEF1,source,7,Destination_1,B8,8
3-pRPL18B,source,13,Destination_1,B8,8
etc,source,16,Destination_1,B8,9
1-pHTB2,source,3,Destination_1,C8,8
2-pTEF1,source,7,Destination_1,C8,8
3-pRET2,source,14,Destination_1,C8,8
etc,source,16,Destination_1,C8,9
1-pHTB2,source,3,Destination_1,D8,8
2-pTEF1,source,7,Destination_1,D8,8
3-pRNR1,source,15,Destination_1,D8,8
etc,source,16,Destination_1,D8,9
1-pHTB2,source,3,Destination_1,E8,8
2-pHHF1,source,8,Destination_1,E8,8
3-pCCW12,source,11,Destination_1,E8,8
etc,source,16,Destination_1,E8,9
1-pHTB2,source,3,Destination_1,F8,8
2-pHHF1,source,8,Destination_1,F8,8
3-pHHF2,source,12,Destination_1,F8,8
etc,source,16,Destination_1,F8,9
1-pHTB2,source,3,Destination_1,G8,8
2-pHHF1,source,8,Destination_1,G8,8
3-pRPL18B,source,13,Destination_1,G8,8
etc,source,16,Destination_1,G8,9
1-pHTB2,source,3,Destination_1,H8,8
2-pHHF1,source,8,Destination_1,H8,8
3-pRET2,source,14,Destination_1,H8,8
etc,source,16,Destination_1,H8,9
1-pHTB2,source,3,Destination_1,A9,8
2-pHHF1,source,8,Destination_1,A9,8
3-pRNR1,source,15,Destination_1,A9,8
etc,source,16,Destination_1,A9,9
1-pHTB2,source,3,Destination_1,B9,8
2-pPAB1,source,9,Destination_1,B9,8
3-pCCW12,source,11,Destination_1,B9,8
etc,source,16,Destination_1,B9,9
1-pHTB2,source,3,Destination_1,C9,8
2-pPAB1,source,9,Destination_1,C9,8
3-pHHF2,source,12,Destination_1,C9,8
etc,source,16,Destination_1,C9,9
1-pHTB2,source,3,Destination_1,D9,8
2-pPAB1,source,9,Destination_1,D9,8
3-pRPL18B,source,13,Destination_1,D9,8
etc,source,16,Destination_1,D9,9
1-pHTB2,source,3,Destination_1,E9,8
2-pPAB1,source,9,Destination_1,E9,8
3-pRET2,source,14,Destination_1,E9,8
etc,source,16,Destination_1,E9,9
1-pHTB2,source,3,Destination_1,F9,8
2-pPAB1,source,9,Destination_1,F9,8
3-pRNR1,source,15,Destination_1,F9,8
etc,source,16,Destination_1,F9,9
1-pHTB2,source,3,Destination_1,G9,8
2-pSAC6,source,10,Destination_1,G9,8
3-pCCW12,source,11,Destination_1,G9,8
etc,source,16,Destination_1,G9,9
1-pHTB2,source,3,Destination_1,H9,8
2-pSAC6,source,10,Destination_1,H9,8
3-pHHF2,source,12,Destination_1,H9,8
etc,source,16,Destination_1,H9,9
1-pHTB2,source,3,Destination_1,A10,8
2-pSAC6,source,10,Destination_1,A10,8
3-pRPL18B,source,13,Destination_1,A10,8
etc,source,16,Destination_1,A10,9
1-pHTB2,source,3,Destination_1,B10,8
2-pSAC6,source,10,Destination_1,B10,8
3-pRET2,source,14,Destination_1,B10,8
etc,source,16,Destination_1,B10,9
1-pHTB2,source,3,Destination_1,C10,8
2-pSAC6,source,10,Destination_1,C10,8
3-pRNR1,source,15,Destination_1,C10,8
etc,source,16,Destination_1,C10,9
1-pALD6,source,4,Destination_1,D10,8
2-pPGK1,source,6,Destination_1,D10,8
3-pCCW12,source,11,Destination_1,D10,8
etc,source,16,Destination_1,D10,9
1-pALD6,source,4,Destination_1,E10,8
2-pPGK1,source,6,Destination_1,E10,8
3-pHHF2,source,12,Destination_1,E10,8
etc,source,16,Destination_1,E10,9
1-pALD6,source,4,Destination_1,F10,8
2-pPGK1,source,6,Destination_1,F10,8
3-pRPL18B,source,13,Destination_1,F10,8
etc,source,16,Destination_1,F10,9
1-pALD6,source,4,Destination_1,G10,8
2-pPGK1,source,6,Destination_1,G10,8
3-pRET2,source,14,Destination_1,G10,8
etc,source,16,Destination_1,G10,9
1-pALD6,source,4,Destination_1,H10,8
2-pPGK1,source,6,Destination_1,H10,8
3-pRNR1,source,15,Destination_1,H10,8
etc,source,16,Destination_1,H10,9
1-pALD6,source,4,Destination_1,A11,8
2-pTEF1,source,7,Destination_1,A11,8
3-pCCW12,source,11,Destination_1,A11,8
etc,source,16,Destination_1,A11,9
1-pALD6,source,4,Destination_1,B11,8
2-pTEF1,source,7,Destination_1,B11,8
3-pHHF2,source,12,Destination_1,B11,8
etc,source,16,Destination_1,B11,9
1-pALD6,source,4,Destination_1,C11,8
2-pTEF1,source,7,Destination_1,C11,8
3-pRPL18B,source,13,Destination_1,C11,8
etc,source,16,Destination_1,C11,9
1-pALD6,source,4,Destination_1,D11,8
2-pTEF1,source,7,Destination_1,D11,8
3-pRET2,source,14,Destination_1,D11,8
etc,source,16,Destination_1,D11,9
1-pALD6,source,4,Destination_1,E11,8
2-pTEF1,source,7,Destination_1,E11,8
3-pRNR1,source,15,Destination_1,E11,8
etc,source,16,Destination_1,E11,9
1-pALD6,source,4,Destination_1,F11,8
2-pHHF1,source,8,Destination_1,F11,8
3-pCCW12,source,11,Destination_1,F11,8
etc,source,16,Destination_1,F11,9
1-pALD6,source,4,Destination_1,G11,8
2-pHHF1,source,8,Destination_1,G11,8
3-pHHF2,source,12,Destination_1,G11,8
etc,source,16,Destination_1,G11,9
1-pALD6,source,4,Destination_1,H11,8
2-pHHF1,source,8,Destination_1,H11,8
3-pRPL18B,source,13,Destination_1,H11,8
etc,source,16,Destination_1,H11,9
1-pALD6,source,4,Destination_1,A12,8
2-pHHF1,source,8,Destination_1,A12,8
3-pRET2,source,14,Destination_1,A12,8
etc,source,16,Destination_1,A12,9
1-pALD6,source,4,Destination_1,B12,8
2-pHHF1,source,8,Destination_1,B12,8
3-pRNR1,source,15,Destination_1,B12,8
etc,source,16,Destination_1,B12,9
1-pALD6,source,4,Destination_1,C12,8
2-pPAB1,source,9,Destination_1,C12,8
3-pCCW12,source,11,Destination_1,C12,8
etc,source,16,Destination_1,C12,9
1-pALD6,source,4,Destination_1,D12,8
2-pPAB1,source,9,Destination_1,D12,8
3-pHHF2,source,12,Destination_1,D12,8
etc,source,16,Destination_1,D12,9
1-pALD6,source,4,Destination_1,E12,8
2-pPAB1,source,9,Destination_1,E12,8
3-pRPL18B,source,13,Destination_1,E12,8
etc,source,16,Destination_1,E12,9
1-pALD6,source,4,Destination_1,F12,8
2-pPAB1,source,9,Destination_1,F12,8
3-pRET2,source,14,Destination_1,F12,8
etc,source,16,Destination_1,F12,9
1-pALD6,source,4,Destination_1,G12,8
2-pPAB1,source,9,Destination_1,G12,8
3-pRNR1,source,15,Destination_1,G12,8
etc,source,16,Destination_1,G12,9
1-pALD6,source,4,Destination_1,H12,8
2-pSAC6,source,10,Destination_1,H12,8
3-pCCW12,source,11,Destination_1,H12,8
etc,source,16,Destination_1,H12,9
1-pALD6,source,4,Destination_2,A1,8
2-pSAC6,source,10,Destination_2,A1,8
3-pHHF2,source,12,Destination_2,A1,8
etc,source,16,Destination_2,A1,9
1-pALD6,source,4,Destination_2,B1,8
2-pSAC6,source,10,Destination_2,B1,8
3-pRPL18B,source,13,Destination_2,B1,8
etc,source,16,Destination_2,B1,9
1-pALD6,source,4,Destination_2,C1,8
2-pSAC6,source,10,Destination_2,C1,8
3-pRET2,source,14,Destination_2,C1,8
etc,source,16,Destination_2,C1,9
1-pALD6,source,4,Destination_2,D1,8
2-pSAC6,source,10,Destination_2,D1,8
3-pRNR1,source,15,Destination_2,D1,8
etc,source,16,Destination_2,D1,9
1-pRNR2,source,5,Destination_2,E1,8
2-pPGK1,source,6,Destination_2,E1,8
3-pCCW12,source,11,Destination_2,E1,8
etc,source,16,Destination_2,E1,9
1-pRNR2,source,5,Destination_2,F1,8
2-pPGK1,source,6,Destination_2,F1,8
3-pHHF2,source,12,Destination_2,F1,8
etc,source,16,Destination_2,F1,9
1-pRNR2,source,5,Destination_2,G1,8
2-pPGK1,source,6,Destination_2,G1,8
3-pRPL18B,source,13,Destination_2,G1,8
etc,source,16,Destination_2,G1,9
1-pRNR2,source,5,Destination_2,H1,8
2-pPGK1,source,6,Destination_2,H1,8
3-pRET2,source,14,Destination_2,H1,8
etc,source,16,Destination_2,H1,9
1-pRNR2,source,5,Destination_2,A2,8
2-pPGK1,source,6,Destination_2,A2,8
3-pRNR1,source,15,Destination_2,A2,8
etc,source,16,Destination_2,A2,9
1-pRNR2,source,5,Destination_2,B2,8
2-pTEF1,source,7,Destination_2,B2,8
3-pCCW12,source,11,Destination_2,B2,8
etc,source,16,Destination_2,B2,9
1-pRNR2,source,5,Destination_2,C2,8
2-pTEF1,source,7,Destination_2,C2,8
3-pHHF2,source,12,Destination_2,C2,8
etc,source,16,Destination_2,C2,9
1-pRNR2,source,5,Destination_2,D2,8
2-pTEF1,source,7,Destination_2,D2,8
3-pRPL18B,source,13,Destination_2,D2,8
etc,source,16,Destination_2,D2,9
1-pRNR2,source,5,Destination_2,E2,8
2-pTEF1,source,7,Destination_2,E2,8
3-pRET2,source,14,Destination_2,E2,8
etc,source,16,Destination_2,E2,9
1-pRNR2,source,5,Destination_2,F2,8
2-pTEF1,source,7,Destination_2,F2,8
3-pRNR1,source,15,Destination_2,F2,8
etc,source,16,Destination_2,F2,9
1-pRNR2,source,5,Destination_2,G2,8
2-pHHF1,source,8,Destination_2,G2,8
3-pCCW12,source,11,Destination_2,G2,8
etc,source,16,Destination_2,G2,9
1-pRNR2,source,5,Destination_2,H2,8
2-pHHF1,source,8,Destination_2,H2,8
3-pHHF2,source,12,Destination_2,H2,8
etc,source,16,Destination_2,H2,9
1-pRNR2,source,5,Destination_2,A3,8
2-pHHF1,source,8,Destination_2,A3,8
3-pRPL18B,source,13,Destination_2,A3,8
etc,source,16,Destination_2,A3,9
1-pRNR2,source,5,Destination_2,B3,8
2-pHHF1,source,8,Destination_2,B3,8
3-pRET2,source,14,Destination_2,B3,8
etc,source,16,Destination_2,B3,9
1-pRNR2,source,5,Destination_2,C3,8
2-pHHF1,source,8,Destination_2,C3,8
3-pRNR1,source,15,Destination_2,C3,8
etc,source,16,Destination_2,C3,9
1-pRNR2,source,5,Destination_2,D3,8
2-pPAB1,source,9,Destination_2,D3,8
3-pCCW12,source,11,Destination_2,D3,8
etc,source,16,Destination_2,D3,9
1-pRNR2,source,5,Destination_2,E3,8
2-pPAB1,source,9,Destination_2,E3,8
3-pHHF2,source,12,Destination_2,E3,8
etc,source,16,Destination_2,E3,9
1-pRNR2,source,5,Destination_2,F3,8
2-pPAB1,source,9,Destination_2,F3,8
3-pRPL18B,source,13,Destination_2,F3,8
etc,source,16,Destination_2,F3,9
1-pRNR2,source,5,Destination_2,G3,8
2-pPAB1,source,9,Destination_2,G3,8
3-pRET2,source,14,Destination_2,G3,8
etc,source,16,Destination_2,G3,9
1-pRNR2,source,5,Destination_2,H3,8
2-pPAB1,source,9,Destination_2,H3,8
3-pRNR1,source,15,Destination_2,H3,8
etc,source,16,Destination_2,H3,9
1-pRNR2,source,5,Destination_2,A4,8
2-pSAC6,source,10,Destination_2,A4,8
3-pCCW12,source,11,Destination_2,A4,8
etc,source,16,Destination_2,A4,9
1-pRNR2,source,5,Destination_2,B4,8
2-pSAC6,source,10,Destination_2,B4,8
3-pHHF2,source,12,Destination_2,B4,8
etc,source,16,Destination_2,B4,9
1-pRNR2,source,5,Destination_2,C4,8
2-pSAC6,source,10,Destination_2,C4,8
3-pRPL18B,source,13,Destination_2,C4,8
etc,source,16,Destination_2,C4,9
1-pRNR2,source,5,Destination_2,D4,8
2-pSAC6,source,10,Destination_2,D4,8
3-pRET2,source,14,Destination_2,D4,8
etc,source,16,Destination_2,D4,9
1-pRNR2,source,5,Destination_2,E4,8
2-pSAC6,source,10,Destination_2,E4,8
3-pRNR1,source,15,Destination_2,E4,8
etc,source,16,Destination_2,E4,9
